rank,score,team,org,finish_time
851,0.760343,Anonymous,"Indian Institute of Management (IIM), Mumbai",2026-07-01 13:24:36+05:30
852,0.760171,suneera68,"Indian Institute of Technology (IIT), Kanpur",2026-07-04 18:03:50+05:30
853,0.759743,idrismsb53,"Narsee Monjee Institute of Management Studies (NMIMS), Mumbai",2026-07-04 16:45:35+05:30
854,0.758814,aditya.namdeo.met23,"Indian Institute of Technology, Banaras Hindu University (IIT - BHU)",2026-07-03 21:45:40+05:30
855,0.758657,h25083,"Xavier School of Management (XLRI), Jamshedpur",2026-07-03 23:59:10+05:30
856,0.758229,singhdevansh2021,"Indian Institute of Management (IIM), Mumbai",2026-07-01 21:04:20+05:30
856,0.758229,yuvraj.260101373,"Indian Institute of Management (IIM), Mumbai",2026-07-04 20:44:55+05:30
857,0.758186,f20221097,"Birla Institute of Technology & Science, Pilani Campus",2026-06-30 23:52:59+05:30
858,0.757914,amex_portugal,"Indian Institute of Management (IIM), Lucknow",2026-06-30 15:16:20+05:30
859,0.757571,InsightMx,"Indian Institute of Management (IIM), Mumbai",2026-07-01 23:42:55+05:30
860,0.757014,TechTeam,"Indian Institute of Management (IIM), Indore",2026-06-29 22:00:22+05:30
861,0.7564,Case Crew,"Indian Institute of Technology (IIT), Indore",2026-07-01 19:18:43+05:30
862,0.756243,parvatia_d27,"Indian Institute of Foreign Trade (IIFT), New Delhi",2026-07-02 16:45:37+05:30
863,0.756186,anonymouslearner1808,"Indian Institute of Technology (IIT), Bombay",2026-07-03 21:34:32+05:30
864,0.755743,NOTDVM,"Birla Institute of Technology & Science, Pilani Campus",2026-07-03 00:58:24+05:30
865,0.754929,STRAMEX,"Indian Institute of Technology (IIT), Guwahati",2026-07-02 18:30:56+05:30
866,0.754829,divyang.250101081,"Indian Institute of Management (IIM), Mumbai",2026-07-04 00:13:44+05:30
867,0.7545,souradeep.ghosh23,"Indian Institute of Management (IIM), Bangalore",2026-07-02 17:06:20+05:30
868,0.753714,ishan.250101322,"Indian Institute of Management (IIM), Mumbai",2026-07-04 19:49:41+05:30
869,0.753571,DEVIANTS,"Management Development Institute (MDI), Gurgaon",2026-07-02 20:02:38+05:30
870,0.753386,StratPack,"Indian Institute of Foreign Trade (IIFT), New Delhi",2026-07-02 03:12:08+05:30
871,0.753029,r43068359,"Indian Institute of Management (IIM), Ahmedabad",2026-07-02 20:36:29+05:30
872,0.753,Bchamps,"Indian Institute of Technology (IIT), Bombay",2026-07-03 21:25:37+05:30
873,0.7528,2_Gen,"Indian Institute of Technology (IIT), Madras",2026-06-29 19:28:00+05:30
874,0.752386,pawar.sai,"Indian Institute of Technology (IIT), Guwahati",2026-07-02 05:40:33+05:30
875,0.751743,yoraman31,"Indian Institute of Technology (IIT), Guwahati",2026-07-04 12:46:32+05:30
876,0.751614,pgp41232,"Indian Institute of Management (IIM), Lucknow",2026-07-03 23:25:16+05:30
877,0.7514,Tech Titans,"Indian Institute of Management (IIM), Indore",2026-07-01 14:08:25+05:30
878,0.751271,Credit Where It's Due,"Indian Institute of Technology (IIT), Kanpur",2026-07-01 04:31:28+05:30
879,0.750943,Beyond_Credit,"SP Jain Institute of Management and Research (SPJIMR), Mumbai",2026-07-02 21:49:24+05:30
880,0.7506,meow,"Indian Institute of Technology (IIT), Kanpur",2026-07-03 02:41:05+05:30
881,0.750443,plsgivejob,"Indian Institute of Technology (IIT), Kanpur",2026-07-04 17:09:22+05:30
882,0.750243,AE,"Indian Institute of Technology (IIT), Kharagpur",2026-06-30 01:18:44+05:30
883,0.749686,StrategistS,"Indian Institute of Technology, Banaras Hindu University (IIT - BHU)",2026-07-04 13:41:53+05:30
884,0.749571,p25shashankk,"Indian Institute of Management (IIM), Indore",2026-07-01 21:55:25+05:30
885,0.749029,Zenith scalers,"Management Development Institute (MDI), Gurgaon",2026-07-04 13:26:50+05:30
886,0.749014,pratyushsingh12378,"Indian Institute of Management (IIM), Lucknow",2026-07-04 02:40:11+05:30
887,0.748514,Team Grand Masti,"Indian Institute of Management (IIM), Indore",2026-07-03 08:33:34+05:30
888,0.748357,jeeasp3,"Birla Institute of Technology & Science, Pilani Campus",2026-07-01 16:50:10+05:30
889,0.748257,Wallfacers,"Indian Institute of Technology, Banaras Hindu University (IIT - BHU)",2026-07-04 14:20:21+05:30
890,0.748143,Breaking Cards,"Indian Institute of Technology (IIT), Kanpur",2026-07-01 09:18:51+05:30
891,0.748014,gulab jamun,"Indian Institute of Technology (IIT), Delhi",2026-07-04 15:14:25+05:30
892,0.747714,BoomBoom,"Indian Institute of Technology (IIT), Delhi",2026-07-02 15:19:11+05:30
893,0.747629,Ayyagarlu,"Indian Institute of Technology (IIT), Kanpur",2026-07-02 16:04:20+05:30
894,0.747386,Cascades,"Indian Institute of Foreign Trade (IIFT), New Delhi",2026-07-01 10:50:15+05:30
895,0.746643,culturalboardiitguwahati,"Indian Institute of Technology (IIT), Kharagpur",2026-07-02 22:14:22+05:30
896,0.746386,p25rahulb,"Indian Institute of Management (IIM), Indore",2026-07-02 23:12:00+05:30
897,0.7462,CasecompEnthusiast,"Indian Institute of Management (IIM), Mumbai",2026-07-02 01:54:19+05:30
898,0.745486,angryskull45,"Indian Institute of Technology (IIT), Bombay",2026-07-02 07:04:00+05:30
899,0.7452,GGs,"Indian Institute of Management (IIM), Calcutta",2026-07-04 17:53:03+05:30
900,0.744314,arpitap30,"Indian Institute of Technology (IIT), Kharagpur",2026-07-03 10:21:16+05:30
901,0.744014,Cadence,"Indian Institute of Management (IIM), Mumbai",2026-07-03 00:25:22+05:30
902,0.743229,roadstairpath,"Indian Institute of Technology (IIT), Bombay",2026-07-02 04:57:19+05:30
903,0.743029,Roorkians,"Indian Institute of Technology (IIT), Roorkee",2026-07-02 04:34:19+05:30
904,0.742743,Mech_Algo,"Indian Institute of Management (IIM), Mumbai",2026-07-01 13:49:43+05:30
905,0.742586,dev1,"Indian Institute of Technology (IIT), Bombay",2026-07-02 08:16:04+05:30
906,0.742314,aaryankumar97199,"Indian Institute of Technology (IIT), Kanpur",2026-07-04 20:52:51+05:30
907,0.741857,Centurion,"Indian Institute of Management (IIM), Mumbai",2026-07-03 17:25:45+05:30
908,0.741686,shouryangas,"Indian Institute of Management (IIM), Mumbai",2026-07-01 16:01:21+05:30
909,0.740657,Sameer,"Indian Institute of Technology (IIT), Hyderabad",2026-07-04 13:33:04+05:30
910,0.740443,los pollos hermanos,"Indian Institute of Technology (IIT), Madras",2026-07-03 00:05:46+05:30
911,0.740429,Wolhaiksong,"Xavier School of Management (XLRI), Delhi",2026-07-04 01:03:44+05:30
912,0.739314,Team Strat,"Indian Institute of Management (IIM), Lucknow",2026-07-03 17:18:14+05:30
913,0.738757,Big Bull Capital,"Indian Institute of Management (IIM), Kozhikode",2026-07-03 00:04:46+05:30
914,0.738586,kannadigaru,"Indian Institute of Management (IIM), Kozhikode",2026-07-04 15:19:29+05:30
915,0.738357,kansheo12,"Birla Institute of Technology & Science, Pilani Campus",2026-07-02 22:06:37+05:30
916,0.738129,VanGuard,"Indian Institute of Management (IIM), Lucknow",2026-07-04 19:25:58+05:30
917,0.738057,varad.260102165,"Indian Institute of Management (IIM), Mumbai",2026-07-02 00:22:07+05:30
918,0.737686,dekhoNaGuys,"Indian Institute of Technology (IIT), Delhi",2026-07-02 05:55:38+05:30
918,0.737686,prath,"Indian Institute of Technology (IIT), Kanpur",2026-07-02 07:16:30+05:30
919,0.7362,DD,"Indian Institute of Technology (IIT), Kanpur",2026-07-04 19:08:57+05:30
920,0.7359,Credit,"Narsee Monjee Institute of Management Studies (NMIMS), Mumbai",2026-07-04 15:25:03+05:30
921,0.735643,The Concept Crew,"Indian Institute of Foreign Trade (IIFT), New Delhi",2026-07-03 20:42:46+05:30
922,0.735457,Cardashians,"SP Jain Institute of Management and Research (SPJIMR), Mumbai",2026-07-01 17:15:30+05:30
923,0.735057,Horizon Hunters,"Indian Institute of Management (IIM), Mumbai",2026-07-02 03:54:03+05:30
924,0.734929,kale.shreya.010,"Indian Institute of Management (IIM), Mumbai",2026-07-03 18:49:00+05:30
925,0.734857,AmW,"Indian Institute of Technology (IIT), Hyderabad",2026-07-04 20:55:09+05:30
926,0.734571,Synapse,"Indian Institute of Foreign Trade (IIFT), New Delhi",2026-07-03 17:08:53+05:30
927,0.734414,Innovation Instigators,"Indian Institute of Management (IIM), Kozhikode",2026-07-01 21:08:18+05:30
928,0.7343,Team Centurion,"Indian Institute of Management (IIM), Lucknow",2026-06-30 17:24:22+05:30
929,0.733914,NexGen Payments,"Narsee Monjee Institute of Management Studies (NMIMS), Mumbai",2026-07-03 11:43:09+05:30
930,0.733857,crackers,"Indian Institute of Technology (IIT), Guwahati",2026-07-04 01:26:34+05:30
931,0.7338,House of Profits,"Indian Institute of Foreign Trade (IIFT), New Delhi",2026-07-04 09:27:44+05:30
932,0.7336,BITS Pilani,"Birla Institute of Technology & Science, Pilani Campus",2026-07-02 19:55:28+05:30
933,0.733314,vaibhavk.3108,"Indian Institute of Technology (IIT), Guwahati",2026-07-02 07:37:14+05:30
934,0.733086,Amexed,"Indian Institute of Management (IIM), Mumbai",2026-06-30 22:14:16+05:30
934,0.733086,Team Rangers,"Indian Institute of Technology, Banaras Hindu University (IIT - BHU)",2026-07-03 07:45:48+05:30
935,0.732957,agrawal313001,"Indian Institute of Technology (IIT), Kanpur",2026-07-04 20:52:48+05:30
936,0.732886,nothinbros,"Indian Institute of Technology (IIT), Bombay",2026-07-02 02:49:06+05:30
937,0.732814,terw935,Xavier School of Management (XLRI),2026-07-04 20:35:04+05:30
938,0.732714,new,"Indian Institute of Technology (IIT), Kharagpur",2026-06-30 19:23:56+05:30
939,0.7325,narangshiv2,"Indian Institute of Technology (IIT), Bombay",2026-06-28 17:46:47+05:30
940,0.732429,productivecloud22,"Birla Institute of Technology & Science, Pilani Campus",2026-07-01 12:48:48+05:30
941,0.731986,Folded,"Indian Institute of Technology (IIT), Kharagpur",2026-06-30 03:21:31+05:30
942,0.731829,kishan.gupta.cd.mat22,"Indian Institute of Technology, Banaras Hindu University (IIT - BHU)",2026-07-03 18:34:00+05:30
943,0.7318,Wizards,"Indian Institute of Technology (IIT), Kanpur",2026-07-04 01:27:23+05:30
944,0.731786,hedwig,"Birla Institute of Technology & Science, Pilani Campus",2026-07-04 16:26:00+05:30
945,0.731729,ayushrai23,"Indian Institute of Technology (IIT), Kanpur",2026-07-03 16:22:02+05:30
946,0.730829,BackEnd,"Indian Institute of Management (IIM), Mumbai",2026-07-04 19:16:00+05:30
947,0.730814,sangharshverma15,"Indian Institute of Technology, Banaras Hindu University (IIT - BHU)",2026-07-03 18:48:40+05:30
948,0.730214,Profit Signal,"Management Development Institute (MDI), Gurgaon",2026-07-02 00:44:39+05:30
949,0.729886,me1231001,"Indian Institute of Technology (IIT), Delhi",2026-07-02 15:21:20+05:30
950,0.729714,Experts,"Indian Institute of Technology (IIT), Guwahati",2026-07-02 11:09:14+05:30
951,0.7294,Dream Team,"Indian Institute of Management (IIM), Kozhikode",2026-07-03 00:34:17+05:30
952,0.728843,Team Rocket,"Indian Institute of Management (IIM), Kozhikode",2026-07-01 22:43:08+05:30
953,0.728543,Data Dynamos,"Indian Institute of Management (IIM), Kozhikode",2026-07-04 00:48:48+05:30
954,0.728214,samaltman,"Indian Institute of Technology (IIT), Delhi",2026-07-03 13:39:18+05:30
955,0.728171,Tres Leches,"Indian Institute of Foreign Trade (IIFT), New Delhi",2026-07-02 18:41:49+05:30
956,0.727414,darshansonawane,"Indian Institute of Technology (IIT), Bombay",2026-07-01 11:06:22+05:30
957,0.727029,StratExplorers,"Narsee Monjee Institute of Management Studies (NMIMS), Mumbai",2026-07-03 22:40:48+05:30
958,0.7267,Token Tribe,"Xavier School of Management (XLRI), Delhi",2026-07-02 11:59:02+05:30
959,0.726043,xyz,"Indian Institute of Management (IIM), Mumbai",2026-07-03 14:42:56+05:30
960,0.725486,lesgoo,"Indian Institute of Technology (IIT), Roorkee",2026-07-04 19:25:45+05:30
961,0.724886,hello,"Indian Institute of Technology (IIT), Kanpur",2026-07-04 15:56:31+05:30
962,0.723543,mba25raghavn,"Indian Institute of Management (IIM), Kozhikode",2026-07-04 03:27:49+05:30
963,0.722829,chelsea,"Indian Institute of Technology, Banaras Hindu University (IIT - BHU)",2026-07-02 22:53:22+05:30
964,0.721871,cardneeded,"Indian Institute of Technology (IIT), Guwahati",2026-07-01 18:12:24+05:30
965,0.721743,samihash51213,"Indian Institute of Foreign Trade (IIFT), New Delhi",2026-06-30 03:29:40+05:30
966,0.720229,ankitp24,"Indian Institute of Technology (IIT), Kanpur",2026-07-04 18:19:07+05:30
967,0.719514,Blue Box Citadel,"Indian Institute of Foreign Trade (IIFT), New Delhi",2026-07-03 18:21:20+05:30
968,0.7193,Decoding_Pattens,"Indian Institute of Technology (IIT), Kharagpur",2026-07-03 23:03:15+05:30
969,0.719057,Ben Yahu's Disciples,"Indian Institute of Technology (IIT), Kharagpur",2026-07-03 14:44:56+05:30
970,0.718729,fin25sai,"Indian Institute of Management (IIM), Kozhikode",2026-07-03 14:51:37+05:30
971,0.718614,torturedsoulssociety,"Delhi School of Economics (DSE), New Delhi",2026-07-04 19:39:54+05:30
972,0.717957,ep24b008,"Indian Institute of Technology (IIT), Madras",2026-07-04 04:34:23+05:30
973,0.7171,Jadi,"Indian Institute of Technology (IIT), Madras",2026-07-01 15:32:35+05:30
974,0.7146,_excellence,"Birla Institute of Technology & Science, Pilani Campus",2026-07-01 17:22:02+05:30
975,0.714257,ekas.babbar,"Indian Institute of Technology (IIT), Guwahati",2026-07-04 03:28:33+05:30
975,0.714257,nhi_hora,"Indian Institute of Technology (IIT), Ropar",2026-07-04 19:21:00+05:30
976,0.7138,AMex,"Indian Institute of Technology (IIT), Kharagpur",2026-06-29 08:54:42+05:30
977,0.713571,Pragmatix_IIMM,"Indian Institute of Management (IIM), Mumbai",2026-06-30 03:43:25+05:30
978,0.711686,babeayya,"Indian Institute of Management (IIM), Kozhikode",2026-06-29 09:27:19+05:30
979,0.711443,deekshab25,"Indian Institute of Technology (IIT), Kanpur",2026-07-01 00:14:04+05:30
980,0.7103,FoidSlayers,"Birla Institute of Technology & Science, Pilani Campus",2026-07-01 21:36:18+05:30
981,0.710214,Python,"Indian Institute of Technology (IIT), Kanpur",2026-07-04 01:36:27+05:30
982,0.708143,MoodyBlues,"Indian Institute of Management (IIM), Indore",2026-07-04 11:45:17+05:30
983,0.708057,CoderVerse,"Indian Institute of Technology, Banaras Hindu University (IIT - BHU)",2026-07-03 16:23:13+05:30
984,0.707071,ch7240625,"Indian Institute of Technology (IIT), Delhi",2026-07-04 10:51:40+05:30
985,0.706529,Graduate,"Delhi School of Economics (DSE), New Delhi",2026-07-01 13:59:54+05:30
986,0.706371,jatin.sharma.cd.civ22,"Indian Institute of Technology, Banaras Hindu University (IIT - BHU)",2026-07-04 19:59:37+05:30
987,0.706129,Vinamratha,"Indian Institute of Technology (IIT), Madras",2026-07-04 00:34:25+05:30
988,0.7052,ee23btech11204,"Indian Institute of Technology (IIT), Hyderabad",2026-07-04 14:29:34+05:30
989,0.704786,Black Cats,"Indian Institute of Management (IIM), Kozhikode",2026-07-02 15:50:53+05:30
990,0.704143,beingAnujChaudhary,"Indian Institute of Technology (IIT), Madras",2026-06-28 18:33:27+05:30
991,0.703171,The fighters,"Vinod Gupta School of Management (VGSoM), Indian Institute of Technology (IIT), Kharagpur",2026-07-02 17:36:30+05:30
992,0.703,Leopards,"Indian Institute of Management (IIM), Mumbai",2026-07-04 01:12:43+05:30
993,0.702829,vansh.agarwal.bce22,"Indian Institute of Technology, Banaras Hindu University (IIT - BHU)",2026-07-04 11:43:01+05:30
994,0.702786,GG,"SP Jain Institute of Management and Research (SPJIMR), Mumbai",2026-07-02 01:19:48+05:30
995,0.702529,A team has no name,"Narsee Monjee Institute of Management Studies (NMIMS), Mumbai",2026-07-03 18:23:20+05:30
996,0.702314,Tap to win,"Indian Institute of Management (IIM), Mumbai",2026-07-01 02:52:52+05:30
997,0.700443,Pranshu,"Indian Institute of Technology, Indian School of Mines (IIT ISM), Dhanbad",2026-07-04 09:46:55+05:30
998,0.700371,Exeptionoids,"Indian Institute of Management (IIM), Lucknow",2026-07-04 03:21:27+05:30
999,0.700271,anaykhamparia5,"Indian Institute of Technology, Banaras Hindu University (IIT - BHU)",2026-07-03 23:30:38+05:30
1000,0.699643,A Team Has No Name,"Shailesh J. Mehta School of Management (SJMSOM), IIT Bombay",2026-07-02 15:14:33+05:30
1001,0.699386,I am God,"Indian Institute of Management (IIM), Lucknow",2026-07-04 19:35:13+05:30
1002,0.698343,abm22033,"Indian Institute of Management (IIM), Lucknow",2026-07-04 17:36:06+05:30
1003,0.6977,stratX,"Indian Institute of Management (IIM), Mumbai",2026-07-04 11:50:30+05:30
1004,0.697071,Future-eng,"Indian Institute of Technology (IIT), Roorkee",2026-07-03 21:18:49+05:30
1005,0.696686,shristiagarwal1906,"Indian Institute of Foreign Trade (IIFT), New Delhi",2026-07-04 12:13:31+05:30
1006,0.696243,V,"Indian Institute of Management (IIM), Calcutta",2026-06-30 01:22:01+05:30
1007,0.695671,TechT,"Indian Institute of Management (IIM), Indore",2026-06-29 20:57:06+05:30
1008,0.695286,BeyondBox,"Indian Institute of Technology (IIT), Guwahati",2026-07-04 17:16:28+05:30
1009,0.694457,Triad,"Narsee Monjee Institute of Management Studies (NMIMS), Mumbai",2026-07-03 10:46:12+05:30
1010,0.6925,antrakashyap.cc,"Shailesh J. Mehta School of Management (SJMSOM), IIT Bombay",2026-07-04 15:23:23+05:30
1011,0.691043,optimizer,"Management Development Institute (MDI), Gurgaon",2026-07-02 00:29:55+05:30
1012,0.691,Vertex,"Shailesh J. Mehta School of Management (SJMSOM), IIT Bombay",2026-07-04 20:12:55+05:30
1013,0.6902,ankitan25,"Indian Institute of Technology (IIT), Kanpur",2026-06-30 21:12:11+05:30
1014,0.689957,Brainwave,"Indian Institute of Technology (IIT), Roorkee",2026-07-03 12:52:59+05:30
1015,0.6899,pgp25.meet,"SP Jain Institute of Management and Research (SPJIMR), Mumbai",2026-07-03 22:36:56+05:30
1015,0.6899,adishsk24,"Indian Institute of Technology (IIT), Kanpur",2026-07-04 19:09:08+05:30
1016,0.689486,chaitanaymittal,Indian School of Business (ISB),2026-06-28 19:28:01+05:30
1017,0.687386,pgp41214,"Indian Institute of Management (IIM), Lucknow",2026-07-04 01:03:19+05:30
1018,0.687371,The Profit Express,"Indian Institute of Management (IIM), Calcutta",2026-07-04 02:43:23+05:30
1019,0.687314,Goal Diggers,"Xavier School of Management (XLRI), Delhi",2026-07-04 11:40:22+05:30
1020,0.684757,23je0514,"Indian Institute of Technology, Indian School of Mines (IIT ISM), Dhanbad",2026-07-03 23:33:07+05:30
1021,0.684429,me240003048,"Indian Institute of Technology (IIT), Indore",2026-07-04 12:47:49+05:30
1022,0.6844,yashashwi.singhania.bce23,"Indian Institute of Technology, Banaras Hindu University (IIT - BHU)",2026-06-28 00:21:27+05:30
1023,0.6827,sarthakkumarmaiti.24,"Indian Institute of Technology (IIT), Kharagpur",2026-07-01 18:51:32+05:30
1024,0.680929,23b0642,"Indian Institute of Technology (IIT), Bombay",2026-07-04 14:15:15+05:30
1025,0.678071,piggy,"Indian Institute of Technology (IIT), Roorkee",2026-06-30 23:59:00+05:30
1026,0.677329,Himalayan ThinkTank,"Indian Institute of Management (IIM), Mumbai",2026-07-03 15:05:38+05:30
1027,0.674786,geminifree6292,"Birla Institute of Technology & Science, Pilani Campus",2026-07-01 03:52:10+05:30
1028,0.674414,varadpendse.vp,"Indian Institute of Technology (IIT), Indore",2026-07-02 22:25:42+05:30
1029,0.6726,Strategists,"Indian Institute of Management (IIM), Bangalore",2026-07-04 15:38:38+05:30
1030,0.672386,BlueFace,"Indian Institute of Management (IIM), Calcutta",2026-07-02 03:31:34+05:30
1031,0.672129,pgp41176,"Indian Institute of Management (IIM), Lucknow",2026-07-04 02:47:45+05:30
1032,0.671329,aman pal,"Indian Institute of Technology (IIT), Kanpur",2026-07-04 20:31:26+05:30
1033,0.670786,Strat1,"Shailesh J. Mehta School of Management (SJMSOM), IIT Bombay",2026-07-01 21:12:16+05:30
1034,0.669971,Stratos,"Indian Institute of Foreign Trade (IIFT), New Delhi",2026-07-02 15:51:47+05:30
1035,0.6699,AMEX,"Indian Institute of Technology (IIT), Guwahati",2026-07-01 15:53:49+05:30
1036,0.669543,chandraveer.singh.civ23,"Indian Institute of Technology, Banaras Hindu University (IIT - BHU)",2026-07-03 16:29:39+05:30
1037,0.668957,Losing state,"Indian Institute of Technology (IIT), Kanpur",2026-07-04 16:42:54+05:30
1038,0.668929,aayein,"Indian Institute of Technology, Indian School of Mines (IIT ISM), Dhanbad",2026-07-03 09:58:36+05:30
1039,0.668829,cardinalX,"Indian Institute of Technology, Indian School of Mines (IIT ISM), Dhanbad",2026-07-03 22:27:13+05:30
1040,0.6684,Growth Architect,"Shailesh J. Mehta School of Management (SJMSOM), IIT Bombay",2026-06-30 16:57:31+05:30
1040,0.6684,American Ninjas,"Indian Institute of Technology (IIT), Delhi",2026-06-30 21:21:26+05:30
1040,0.6684,Jokar,"Indian Institute of Technology (IIT), Kharagpur",2026-07-02 14:23:58+05:30
1040,0.6684,absolutely20sofficial,"Indian Institute of Technology (IIT), Delhi",2026-07-03 12:12:13+05:30
1040,0.6684,Geralt,Indira Gandhi Institute of Development Research,2026-07-04 18:04:51+05:30
1041,0.668286,Quartz,"Indian Institute of Management (IIM), Mumbai",2026-07-04 20:08:51+05:30
1042,0.668257,b25172,"Xavier School of Management (XLRI), Jamshedpur",2026-06-29 01:28:56+05:30
1043,0.668014,Kuroi Getsuga,"Narsee Monjee Institute of Management Studies (NMIMS), Mumbai",2026-07-04 17:47:56+05:30
1044,0.667714,Hehehe,"Indian Institute of Technology (IIT), Roorkee",2026-07-04 16:03:03+05:30
1045,0.666286,f20240748,"Birla Institute of Technology & Science, Pilani Campus",2026-07-02 19:18:35+05:30
1046,0.666071,sahil.sarekh.mec23,"Indian Institute of Technology, Banaras Hindu University (IIT - BHU)",2026-07-04 15:18:37+05:30
1047,0.665786,http 404,"Indian Institute of Technology (IIT), Guwahati",2026-07-03 19:46:17+05:30
1048,0.665614,Amex Winners,"Indian Institute of Management (IIM), Mumbai",2026-07-03 19:08:06+05:30
1049,0.6653,rajiv.ratan.260101251,"Indian Institute of Management (IIM), Mumbai",2026-07-02 00:21:55+05:30
1050,0.665029,ssaharshyadav,"Indian Institute of Technology (IIT), Madras",2026-07-04 12:09:28+05:30
1051,0.664743,agastya.anand012,"Narsee Monjee Institute of Management Studies (NMIMS), Mumbai",2026-07-04 16:24:10+05:30
1052,0.664514,Pivot,"Indian Institute of Technology, Banaras Hindu University (IIT - BHU)",2026-06-30 11:33:50+05:30
1053,0.6625,Hel(L) 2.0,"Indian Institute of Management (IIM), Lucknow",2026-07-04 14:00:59+05:30
1054,0.662486,GUPCHUP,Indira Gandhi Institute of Development Research,2026-07-04 16:51:03+05:30
1055,0.6623,PSP Strategy,"Indian Institute of Technology, Indian School of Mines (IIT ISM), Dhanbad",2026-07-03 18:46:32+05:30
1056,0.661671,Shivasquad,"Indian Institute of Management (IIM), Bangalore",2026-07-04 20:43:21+05:30
1057,0.661186,pranshu.jais1810,"Indian Institute of Technology (IIT), Kharagpur",2026-07-03 15:54:28+05:30
1058,0.660386,Angen Ghatram,"Indian Institute of Technology, Indian School of Mines (IIT ISM), Dhanbad",2026-07-04 15:14:41+05:30
1059,0.659614,Safex,"Narsee Monjee Institute of Management Studies (NMIMS), Mumbai",2026-06-29 11:37:50+05:30
1060,0.659386,Xtra,"Indian Institute of Management (IIM), Indore",2026-07-04 01:12:12+05:30
1061,0.658614,Conquerors,"Management Development Institute (MDI), Gurgaon",2026-06-30 03:03:57+05:30
1062,0.6586,DataDriven,"Indian Institute of Management (IIM), Lucknow",2026-07-03 21:49:18+05:30
1063,0.658429,amitk82345,"Indian Institute of Technology (IIT), Kanpur",2026-07-04 11:33:29+05:30
1064,0.6583,"Visca Barça, Visca Catalunya","Indian Institute of Technology (IIT), Kanpur",2026-07-04 02:10:53+05:30
1065,0.656857,Kuchh bhi,"Indian Institute of Technology, Indian School of Mines (IIT ISM), Dhanbad",2026-07-04 16:09:41+05:30
1066,0.656843,24je0268,"Indian Institute of Technology, Indian School of Mines (IIT ISM), Dhanbad",2026-07-04 14:15:07+05:30
1067,0.655486,saketsharma707,"Indian Institute of Technology (IIT), Roorkee",2026-07-02 20:04:12+05:30
1068,0.6552,3mates,"Indian Institute of Technology (IIT), Kanpur",2026-07-03 23:46:43+05:30
1069,0.654171,logN,"Indian Institute of Technology (IIT), Kharagpur",2026-07-02 17:37:07+05:30
1069,0.654171,bigdihgng,"Indian Institute of Technology (IIT), Kanpur",2026-07-04 20:28:53+05:30
1070,0.6541,Echon,"Management Development Institute (MDI), Gurgaon",2026-07-04 00:16:40+05:30
1071,0.653829,raunak.chandra15,"Indian Institute of Management (IIM), Lucknow",2026-07-03 22:54:03+05:30
1072,0.653329,ModernIcecream,"Indian Institute of Management (IIM), Indore",2026-07-03 04:35:40+05:30
1073,0.653286,IIMK_Musketeers,"Indian Institute of Management (IIM), Kozhikode",2026-07-04 15:59:02+05:30
1074,0.652857,AlgoApex,"Indian Institute of Technology (IIT), Ropar",2026-07-02 23:54:31+05:30
1075,0.652629,f20220685,"Birla Institute of Technology & Science, Pilani Campus",2026-06-30 01:16:08+05:30
1076,0.652557,AMEX_CAPITAL,"Indian Institute of Technology (IIT), Bombay",2026-07-04 13:01:56+05:30
1077,0.651329,Platinum Standard,"Indian Institute of Management (IIM), Mumbai",2026-07-04 13:42:25+05:30
1078,0.6501,Solo Levelling,"Indian Institute of Technology (IIT), Ropar",2026-07-04 20:52:04+05:30
1079,0.649886,dharm_s,"Indian Institute of Technology (IIT), Roorkee",2026-06-29 23:57:33+05:30
1079,0.649886,Tesla,"Department of Management Studies (DoMS), Indian Institute of Technology (IIT), Madras",2026-07-02 22:35:42+05:30
1080,0.648486,Strategists,"Management Development Institute (MDI), Gurgaon",2026-07-03 12:40:49+05:30
1081,0.648257,abhishekt25,"Indian Institute of Technology (IIT), Kanpur",2026-06-30 00:23:57+05:30
1082,0.647443,OutThinkers,"Indian Institute of Management (IIM), Indore",2026-07-04 20:38:31+05:30
1083,0.647057,SIX,"Indian Institute of Management (IIM), Mumbai",2026-07-03 16:41:50+05:30
1084,0.646729,Medellin,"Birla Institute of Technology & Science, Pilani Campus",2026-06-30 23:39:44+05:30
1085,0.6467,pgp41336,"Indian Institute of Management (IIM), Lucknow",2026-07-04 15:46:38+05:30
1086,0.645114,Amexwins,"Indian Institute of Management (IIM), Ahmedabad",2026-07-03 16:54:53+05:30
1087,0.643786,throwawaymail19012,"Indian Institute of Foreign Trade (IIFT), New Delhi",2026-07-04 18:45:00+05:30
1088,0.643443,aartemis174,"Shailesh J. Mehta School of Management (SJMSOM), IIT Bombay",2026-07-02 20:16:40+05:30
1089,0.643357,Dilli 6,"Indian Institute of Management (IIM), Mumbai",2026-07-03 12:20:08+05:30
1090,0.643229,b.mahath123,"Indian Institute of Technology (IIT), Kanpur",2026-07-04 14:43:38+05:30
1091,0.6427,SUS,"Indian Institute of Technology (IIT), Kharagpur",2026-07-04 11:13:40+05:30
1092,0.642329,SapnevsEveryone,"Indian Institute of Management (IIM), Mumbai",2026-06-30 00:43:52+05:30
1093,0.641871,biztech,"Indian Institute of Management (IIM), Lucknow",2026-07-04 14:54:02+05:30
1094,0.641543,team_name,"Indian Institute of Management (IIM), Mumbai",2026-07-03 03:07:46+05:30
